id;symbol;name;rate;created_by;created_date
108;JOD;Jordanian Dinar;0.828014;system;2018-07-23
109;AED;United Arab Emirates Dirham;4.290428;system;2018-07-23
110;HKD;Hong Kong Dollar;9.165550;system;2018-07-23
111;RWF;Rwandan Franc;996.973318;system;2018-07-23
112;LSL;Lesotho Loti;15.642121;system;2018-07-23
113;DKK;Danish Krone;7.452809;system;2018-07-23
114;CAD;Canadian Dollar;1.537626;system;2018-07-23
115;BGN;Bulgarian Lev;1.951822;system;2018-07-23
116;MMK;Myanma Kyat;1681.033399;system;2018-07-23
117;MUR;Mauritian Rupee;39.683612;system;2018-07-23
118;NOK;Norwegian Krone;9.561103;system;2018-07-23
119;SYP;Syrian Pound;601.597440;system;2018-07-23
120;IMP;Manx pound;0.888904;system;2018-07-23
121;ZWL;Zimbabwean Dollar;376.573764;system;2018-07-23
122;GIP;Gibraltar Pound;0.888409;system;2018-07-23
123;RON;Romanian Leu;4.627458;system;2018-07-23
124;LKR;Sri Lankan Rupee;186.268814;system;2018-07-23
125;NGN;Nigerian Naira;419.382424;system;2018-07-23
126;CRC;Costa Rican Colón;660.030319;system;2018-07-23
127;CZK;Czech Republic Koruna;25.672155;system;2018-07-23
128;PKR;Pakistani Rupee;149.914567;system;2018-07-23
129;XCD;East Caribbean Dollar;3.154603;system;2018-07-23
130;ANG;Netherlands Antillean Guilder;2.149818;system;2018-07-23
131;HTG;Haitian Gourde;77.626606;system;2018-07-23
132;BHD;Bahraini Dinar;0.441110;system;2018-07-23
133;KZT;Kazakhstani Tenge;404.569571;system;2018-07-23
134;SRD;Surinamese Dollar;8.667978;system;2018-07-23
135;SZL;Swazi Lilangeni;15.589960;system;2018-07-23
136;LTL;Lithuanian Litas;3.561480;system;2018-07-23
137;SAR;Saudi Riyal;4.380620;system;2018-07-23
138;TTD;Trinidad and Tobago Dollar;7.876558;system;2018-07-23
139;YER;Yemeni Rial;291.873723;system;2018-07-23
140;MVR;Maldivian Rufiyaa;18.188385;system;2018-07-23
141;AFN;Afghan Afghani;83.934865;system;2018-07-23
142;INR;Indian Rupee;80.433201;system;2018-07-23
143;AWG;Aruban Florin;2.079388;system;2018-07-23
144;KRW;South Korean Won;1316.323064;system;2018-07-23
145;NPR;Nepalese Rupee;128.443123;system;2018-07-23
146;MNT;Mongolian Tugrik;2871.425384;system;2018-07-23
147;AOA;Angolan Kwanza;296.198379;system;2018-07-23
148;PLN;Polish Zloty;4.297904;system;2018-07-23
149;SBD;Solomon Islands Dollar;9.224546;system;2018-07-23
150;BYN;New Belarusian Ruble;2.312695;system;2018-07-23
151;HUF;Hungarian Forint;325.821490;system;2018-07-23
152;BYR;Belarusian Ruble;22896.637318;system;2018-07-23
153;BIF;Burundian Franc;2045.487426;system;2018-07-23
154;MWK;Malawian Kwacha;833.437601;system;2018-07-23
155;MGA;Malagasy Ariary;3825.841142;system;2018-07-23
156;XDR;Special Drawing Rights;0.831456;system;2018-07-23
157;BZD;Belize Dollar;2.333821;system;2018-07-23
158;BAM;Bosnia-Herzegovina Convertible Mark;1.959180;system;2018-07-23
159;EGP;Egyptian Pound;20.852063;system;2018-07-23
160;MOP;Macanese Pataca;9.440178;system;2018-07-23
161;NAD;Namibian Dollar;15.545193;system;2018-07-23
162;NIO;Nicaraguan Córdoba;36.968494;system;2018-07-23
163;PEN;Peruvian Nuevo Sol;3.821757;system;2018-07-23
164;NZD;New Zealand Dollar;1.719351;system;2018-07-23
165;WST;Samoan Tala;3.060792;system;2018-07-23
166;TMT;Turkmenistani Manat;3.983548;system;2018-07-23
167;CLF;Chilean Unit of Account (UF);0.027826;system;2018-07-23
168;BRL;Brazilian Real;4.377460;system;2018-07-23
